StudentID,marks,attempts
STD-0001,73.77,1
STD-0002,52.27,2
STD-0003,78.25,2
STD-0004,86.94,2
STD-0005,96.66,2
STD-0006,52.53,2
STD-0007,89.68,2
STD-0008,56.88,2
STD-0009,78.81,2
STD-0010,86.44,2
STD-0011,71.32,3
STD-0012,47.47,2
STD-0013,66.45,2
STD-0014,50.67,1
STD-0015,70.77,2
STD-0016,92.34,1
STD-0017,50.25,1
STD-0018,90.49,3
STD-0019,80.94,1
STD-0020,91.94,2
STD-0021,87.34,3
STD-0022,67.65,2
STD-0023,48.08,1
STD-0024,69.87,3
STD-0025,62.29,1
STD-0026,56.11,3
STD-0027,97.84,1
STD-0028,75.87,1
STD-0029,44.86,1
STD-0030,88.23,1
STD-0031,42.24,2
STD-0032,75.22,1
STD-0033,55.94,1
STD-0034,85.66,1
STD-0035,61.86,2
STD-0036,95.78,1
STD-0037,94.2,1
STD-0038,54.06,3
STD-0039,46.31,1
STD-0040,61.82,3
STD-0041,64.49,3
STD-0042,51.33,3
STD-0043,69.53,2
STD-0044,89.89,3
STD-0045,65.9,3
STD-0046,53.17,2
STD-0047,97.41,3
STD-0048,58.58,3
STD-0049,45.9,3
STD-0050,42.43,1
STD-0051,46.96,3
STD-0052,76.41,3
STD-0053,91.22,2
STD-0054,80.85,3
STD-0055,96.17,3
STD-0056,84.63,3
STD-0057,92.81,1
STD-0058,95.06,1
STD-0059,75.17,1
STD-0060,86.18,3
STD-0061,87.98,1
STD-0062,43.26,3
STD-0063,99.81,2
STD-0064,77.65,2
STD-0065,96.01,3
STD-0066,45.66,3
STD-0067,89.35,3
STD-0068,89.05,1
STD-0069,96.63,3
STD-0070,81.14,1
STD-0071,54.24,1
STD-0072,96.41,3
STD-0073,72.24,1
STD-0074,56.1,2
STD-0075,88.64,3
STD-0076,57.58,1
STD-0077,96.77,1
STD-0078,71.94,3
STD-0079,89.67,1
STD-0080,85.92,3
STD-0081,73.17,3
STD-0082,61.5,1
STD-0083,84.42,1
STD-0084,41.22,1
STD-0085,61.95,1
STD-0086,44.6,2
STD-0087,41.18,2
STD-0088,52.47,1
STD-0089,51.23,1
STD-0090,40.17,3
STD-0091,78.45,2
STD-0092,78.47,1
STD-0093,96.77,3
STD-0094,99.91,3
STD-0095,99.42,2
STD-0096,89.94,3
STD-0097,96.25,3
STD-0098,96.61,3
STD-0099,80.62,2
STD-0100,86.83,3
STD-0101,41.63,1
STD-0102,95.8,2
STD-0103,57.34,1
STD-0104,55.59,1
STD-0105,94.07,2
STD-0106,86.49,3
STD-0107,59.12,1
STD-0108,55.07,2
STD-0109,74.08,2
STD-0110,83.09,3
STD-0111,71.85,1
STD-0112,92.5,2
STD-0113,42.38,3
STD-0114,81.94,1
STD-0115,62.2,2
STD-0116,93.11,3
STD-0117,60.84,2
STD-0118,71.23,1
STD-0119,63.18,1
STD-0120,86.8,1
STD-0121,64.53,2
STD-0122,86.21,2
STD-0123,52.25,2
STD-0124,94.95,3
STD-0125,47.54,1
STD-0126,64.01,2
STD-0127,92.34,2
STD-0128,57.92,1
STD-0129,98.43,1
STD-0130,53.27,2
STD-0131,58.04,2
STD-0132,88.04,3
STD-0133,97.15,3
STD-0134,43.39,2
STD-0135,90.51,3
STD-0136,55.86,3
STD-0137,59.31,2
STD-0138,97.52,3
STD-0139,81.36,2
STD-0140,59.28,2
STD-0141,66.71,1
STD-0142,76.22,2
STD-0143,62.98,3
STD-0144,96.31,2
STD-0145,95.95,3
STD-0146,87.25,2
STD-0147,98.47,2
STD-0148,92.28,2
