StudentID,fees_due
STD-0001,0
STD-0002,0
STD-0003,10000
STD-0004,0
STD-0005,30000
STD-0006,30000
STD-0007,20000
STD-0008,30000
STD-0009,10000
STD-0010,20000
STD-0011,30000
STD-0012,10000
STD-0013,30000
STD-0014,30000
STD-0015,0
STD-0016,30000
STD-0017,30000
STD-0018,10000
STD-0019,10000
STD-0020,0
STD-0021,30000
STD-0022,0
STD-0023,30000
STD-0024,20000
STD-0025,20000
STD-0026,0
STD-0027,0
STD-0028,0
STD-0029,10000
STD-0030,10000
STD-0031,10000
STD-0032,0
STD-0033,30000
STD-0034,20000
STD-0035,0
STD-0036,10000
STD-0037,10000
STD-0038,0
STD-0039,0
STD-0040,10000
STD-0041,30000
STD-0042,10000
STD-0043,10000
STD-0044,0
STD-0045,30000
STD-0046,10000
STD-0047,10000
STD-0048,20000
STD-0049,0
STD-0050,20000
STD-0051,20000
STD-0052,10000
STD-0053,0
STD-0054,30000
STD-0055,10000
STD-0056,30000
STD-0057,30000
STD-0058,0
STD-0059,20000
STD-0060,0
STD-0061,30000
STD-0062,10000
STD-0063,30000
STD-0064,10000
STD-0065,10000
STD-0066,0
STD-0067,30000
STD-0068,20000
STD-0069,30000
STD-0070,30000
STD-0071,20000
STD-0072,0
STD-0073,30000
STD-0074,30000
STD-0075,10000
STD-0076,30000
STD-0077,20000
STD-0078,10000
STD-0079,0
STD-0080,10000
STD-0081,20000
STD-0082,20000
STD-0083,10000
STD-0084,0
STD-0085,10000
STD-0086,0
STD-0087,10000
STD-0088,20000
STD-0089,30000
STD-0090,30000
STD-0091,0
STD-0092,0
STD-0093,0
STD-0094,20000
STD-0095,10000
STD-0096,20000
STD-0097,30000
STD-0098,0
STD-0099,10000
STD-0100,30000
STD-0101,30000
STD-0102,30000
STD-0103,20000
STD-0104,0
STD-0105,30000
STD-0106,0
STD-0107,20000
STD-0108,30000
STD-0109,20000
STD-0110,20000
STD-0111,0
STD-0112,30000
STD-0113,20000
STD-0114,30000
STD-0115,0
STD-0116,20000
STD-0117,0
STD-0118,30000
STD-0119,30000
STD-0120,0
STD-0121,10000
STD-0122,20000
STD-0123,30000
STD-0124,30000
STD-0125,20000
STD-0126,0
STD-0127,0
STD-0128,0
STD-0129,10000
