StudentID,attendance
STD-0001,99.6
STD-0002,92.6
STD-0003,60.4
STD-0004,96.5
STD-0005,55.8
STD-0006,90.9
STD-0007,69.0
STD-0008,93.9
STD-0009,93.4
STD-0010,90.3
STD-0011,89.5
STD-0012,65.2
STD-0013,54.0
STD-0014,70.1
STD-0015,58.7
STD-0016,84.7
STD-0017,67.3
STD-0018,98.8
STD-0019,82.0
STD-0020,91.1
STD-0021,56.6
STD-0022,93.1
STD-0023,96.1
STD-0024,74.4
STD-0025,80.3
STD-0026,88.2
STD-0027,58.7
STD-0028,75.1
STD-0029,69.9
STD-0030,57.3
STD-0031,68.4
STD-0032,53.4
STD-0033,51.3
STD-0034,56.8
STD-0035,98.2
STD-0036,77.5
STD-0037,98.3
STD-0038,71.6
STD-0039,65.6
STD-0040,75.3
STD-0041,72.0
STD-0042,55.3
STD-0043,82.0
STD-0044,60.8
STD-0045,81.0
STD-0046,82.5
STD-0047,57.6
STD-0048,53.1
STD-0049,89.0
STD-0050,73.0
STD-0051,52.9
STD-0052,99.7
STD-0053,52.9
STD-0054,84.8
STD-0055,99.2
STD-0056,62.0
STD-0057,57.1
STD-0058,56.1
STD-0059,65.2
STD-0060,55.1
STD-0061,84.6
STD-0062,53.1
STD-0063,75.5
STD-0064,99.8
STD-0065,90.7
STD-0066,80.8
STD-0067,65.3
STD-0068,81.2
STD-0069,76.4
STD-0070,71.3
STD-0071,56.5
STD-0072,94.3
STD-0073,72.5
STD-0074,59.7
STD-0075,68.4
STD-0076,70.7
STD-0077,91.4
STD-0078,86.7
STD-0079,88.5
STD-0080,50.6
STD-0081,70.8
STD-0082,74.1
STD-0083,51.0
STD-0084,63.0
STD-0085,88.0
STD-0086,56.9
STD-0087,76.8
STD-0088,60.8
STD-0089,50.6
STD-0090,62.1
STD-0091,98.8
STD-0092,90.1
STD-0093,98.0
STD-0094,74.4
STD-0095,55.5
STD-0096,77.4
STD-0097,72.7
STD-0098,92.2
STD-0099,54.9
STD-0100,74.4
STD-0101,57.5
STD-0102,66.2
STD-0103,86.9
STD-0104,73.8
STD-0105,68.8
STD-0106,69.7
STD-0107,73.0
STD-0108,89.3
STD-0109,94.6
STD-0110,97.8
STD-0111,89.3
STD-0112,65.8
STD-0113,84.4
STD-0114,71.9
STD-0115,62.7
STD-0116,92.0
STD-0117,51.9
STD-0118,95.1
STD-0119,73.1
STD-0120,81.9
STD-0121,83.0
STD-0122,94.8
STD-0123,81.8
STD-0124,80.7
STD-0125,53.3
STD-0126,75.9
STD-0127,57.5
STD-0128,86.9
STD-0129,75.6
STD-0130,84.0
STD-0131,52.1
STD-0132,54.2
STD-0133,85.8
STD-0134,53.6
STD-0135,53.6
STD-0136,50.6
STD-0137,97.8
STD-0138,86.9
STD-0139,67.7
STD-0140,64.8
STD-0141,67.5
STD-0142,88.7
STD-0143,83.1
STD-0144,59.3
STD-0145,58.7
STD-0146,54.9
STD-0147,83.0
STD-0148,88.2
STD-0149,63.3
STD-0150,51.0
STD-0151,54.1
STD-0152,98.4
STD-0153,64.8
STD-0154,88.5
STD-0155,81.2
STD-0156,69.1
STD-0157,60.3
STD-0158,56.1
STD-0159,80.8
STD-0160,88.7
STD-0161,82.2
STD-0162,76.5
STD-0163,52.1
STD-0164,98.4
STD-0165,89.9
STD-0166,64.6
STD-0167,99.0
STD-0168,80.1
STD-0169,79.1
STD-0170,87.4
STD-0171,90.6
STD-0172,82.8
STD-0173,56.4
STD-0174,66.9
STD-0175,96.4
STD-0176,61.2
STD-0177,68.6
STD-0178,71.6
STD-0179,72.0
STD-0180,80.6
STD-0181,97.2
STD-0182,62.0
STD-0183,56.1
STD-0184,59.9
STD-0185,94.3
STD-0186,82.3
STD-0187,64.3
STD-0188,90.8
