StudentID,marks,attempts
STD-0001,68.73,3
STD-0002,97.54,2
STD-0003,86.6,3
STD-0004,79.93,3
STD-0005,57.8,1
STD-0006,57.8,1
STD-0007,52.9,3
STD-0008,93.31,1
STD-0009,80.06,2
STD-0010,85.4,2
STD-0011,51.03,1
STD-0012,98.5,2
STD-0013,91.62,1
STD-0014,60.62,3
STD-0015,59.09,3
STD-0016,59.17,2
STD-0017,65.21,1
STD-0018,76.24,1
STD-0019,71.6,2
STD-0020,64.56,3
STD-0021,80.59,2
STD-0022,56.97,3
STD-0023,64.61,1
STD-0024,68.32,3
STD-0025,72.8,2
STD-0026,89.26,1
STD-0027,59.98,2
STD-0028,75.71,2
STD-0029,79.62,3
STD-0030,52.32,2
STD-0031,80.38,3
STD-0032,58.53,1
STD-0033,53.25,3
STD-0034,97.44,1
STD-0035,98.28,3
STD-0036,90.42,2
STD-0037,65.23,3
STD-0038,54.88,3
STD-0039,84.21,1
STD-0040,72.01,2
STD-0041,56.1,3
STD-0042,74.76,2
STD-0043,51.72,3
STD-0044,95.47,3
STD-0045,62.94,2
STD-0046,83.13,3
STD-0047,65.59,2
STD-0048,76.0,3
STD-0049,77.34,1
STD-0050,59.24,2
STD-0051,98.48,3
STD-0052,88.76,3
STD-0053,96.97,1
STD-0054,94.74,2
STD-0055,79.89,3
STD-0056,96.09,1
STD-0057,54.42,3
STD-0058,59.8,2
STD-0059,52.26,3
STD-0060,66.27,3
STD-0061,69.43,3
STD-0062,63.57,3
STD-0063,91.44,1
STD-0064,67.84,1
STD-0065,64.05,2
STD-0066,77.13,1
STD-0067,57.05,1
STD-0068,90.11,2
STD-0069,53.73,1
STD-0070,99.34,1
STD-0071,88.61,2
STD-0072,59.94,2
STD-0073,50.28,2
STD-0074,90.77,3
STD-0075,85.34,3
STD-0076,86.45,2
STD-0077,88.56,2
STD-0078,53.7,2
STD-0079,67.92,3
STD-0080,55.79,3
STD-0081,93.16,1
STD-0082,81.16,1
STD-0083,66.54,2
STD-0084,53.18,3
STD-0085,65.55,3
STD-0086,66.26,3
STD-0087,86.48,2
STD-0088,81.88,1
STD-0089,94.36,2
STD-0090,73.61,1
STD-0091,55.98,1
STD-0092,85.66,2
STD-0093,88.04,1
STD-0094,78.06,1
STD-0095,88.55,3
STD-0096,74.69,1
STD-0097,76.14,2
STD-0098,71.38,2
STD-0099,51.27,1
STD-0100,55.39,3
STD-0101,51.57,3
STD-0102,81.82,1
STD-0103,65.72,1
STD-0104,75.43,2
STD-0105,95.38,1
STD-0106,62.46,3
STD-0107,70.52,1
STD-0108,87.78,2
STD-0109,61.44,2
STD-0110,53.85,2
STD-0111,64.49,2
STD-0112,58.06,2
STD-0113,96.48,1
STD-0114,90.41,1
STD-0115,81.67,1
STD-0116,93.57,1
STD-0117,90.18,2
STD-0118,59.33,3
STD-0119,94.63,1
STD-0120,76.97,3
STD-0121,90.37,1
STD-0122,94.8,1
STD-0123,65.9,3
STD-0124,55.5,2
STD-0125,61.4,1
STD-0126,71.36,1
STD-0127,90.9,1
STD-0128,93.04,3
STD-0129,50.35,2
STD-0130,75.54,3
STD-0131,70.87,3
STD-0132,61.11,2
STD-0133,55.99,3
STD-0134,66.88,2
STD-0135,97.15,1
STD-0136,66.16,2
STD-0137,75.94,1
STD-0138,85.15,3
STD-0139,68.18,3
STD-0140,98.59,1
STD-0141,98.12,3
STD-0142,62.59,2
STD-0143,74.86,1
STD-0144,65.04,3
STD-0145,64.24,1
STD-0146,51.84,2
STD-0147,80.48,2
STD-0148,75.13,3
STD-0149,52.57,2
STD-0150,63.93,1
STD-0151,95.41,2
STD-0152,61.98,1
STD-0153,57.24,1
STD-0154,74.47,2
STD-0155,99.28,3
STD-0156,62.1,2
STD-0157,83.61,1
STD-0158,88.08,1
STD-0159,61.88,2
STD-0160,86.41,3
STD-0161,68.39,3
STD-0162,81.62,1
STD-0163,81.68,1
STD-0164,76.79,3
STD-0165,54.51,2
STD-0166,91.77,1
STD-0167,66.04,1
STD-0168,59.33,3
STD-0169,52.04,2
STD-0170,79.54,3
STD-0171,83.88,2
STD-0172,50.83,2
STD-0173,75.6,2
STD-0174,61.32,1
STD-0175,82.26,3
STD-0176,58.72,3
STD-0177,84.55,2
STD-0178,69.34,1
STD-0179,96.84,1
STD-0180,56.88,3
STD-0181,67.05,1
STD-0182,55.67,1
STD-0183,96.23,2
STD-0184,93.87,1
STD-0185,62.9,2
STD-0186,83.0,3
STD-0187,90.86,1
STD-0188,77.76,3
STD-0189,76.48,3
STD-0190,62.09,1
STD-0191,54.66,1
STD-0192,94.86,3
STD-0193,95.02,1
STD-0194,81.66,2
STD-0195,66.95,2
STD-0196,67.46,1
STD-0197,86.3,3
STD-0198,94.86,1
STD-0199,94.35,1
STD-0200,88.99,3
STD-0201,82.1,3
STD-0202,54.21,2
STD-0203,58.08,3
STD-0204,94.93,2
STD-0205,80.32,3
STD-0206,50.46,1
STD-0207,55.07,2
STD-0208,83.18,2
STD-0209,50.25,2
STD-0210,58.04,1
STD-0211,77.44,1
STD-0212,84.59,1
STD-0213,82.6,1
STD-0214,61.21,1
STD-0215,85.61,2
STD-0216,61.86,1
STD-0217,66.27,2
STD-0218,87.32,1
STD-0219,82.48,3
STD-0220,92.46,2
STD-0221,82.88,3
STD-0222,78.42,2
STD-0223,54.68,3
STD-0224,68.39,1
STD-0225,63.26,1
STD-0226,62.2,1
STD-0227,98.65,2
STD-0228,69.65,3
STD-0229,94.6,1
STD-0230,81.56,3
STD-0231,89.74,3
STD-0232,75.13,1
STD-0233,78.85,1
STD-0234,74.63,3
STD-0235,59.76,1
STD-0236,86.12,1
STD-0237,64.04,1
STD-0238,51.22,2
